Pos |Antal|Värde   |Artikelnummer       |Komponenttyp             |Beskrivning              |KompID
91  |2    |1K      |RM9003/./..../0     |RM9003                   |                         |RR11,RR16
92  |2    |        |ZD2865/.././0       |28C256                   |                         |UU1,UU2
93  |2    |        |                    |28C256                   |                         |UU1,UU2
94  |2    |100K    |RM9003/./..../0     |RM9003                   |                         |RR13,RR14
95  |3    |33      |RES0805             |RES0805                  |                         |R9,R10,R12
96  |3    |        |ZL8005/10/0         |1N827                    |zener                    |D1,D2,D3
97  |3    |20K     |RES0805             |RES0805                  |                         |R329,R330,R331
98  |3    |10n     |CAP0805             |CAP0805                  |                         |C206,C214,C222
99  |3    |        |PB8302/308/0        |CON_PB8302/308/0         |                         |PP2,PP4,PP17
100 |3    |        |PB8302/304/0        |CON_PB8302/304/0         |                         |PP1,PP3,PP6
101 |4    |999p    |HS9001/../.../0     |HS9001                   |EMI-filter               |C26,C27,C33,C34
102 |4    |        |PB8302/102/0        |CON_PB8302/102/0         |                         |P18,P20,P26,P27
103 |4    |        |PB8302/303/0        |CON_PB8302/303/0         |                         |P13,P19,PP5,PP23
104 |4    |100u    |CE9002/../..../.    |CE9002_D                 |                         |C19,C21,C24,C28
105 |4    |        |ZC6533/22/167/0     |CY7B991V                 |Clock Buffer, Programmable Skew|U26,U33,U36,U37
106 |4    |999p    |CE9002/../..../.    |CE9002_D                 |                         |C38,C41,C55,C126
107 |4    |330u    |CE9002/../..../.    |CE9002_D                 |                         |C40,C42,C43,C127
108 |4    |10k     |RES0603             |RES0603                  |                         |R197,R198,R199,R200
109 |4    |        |ZC6535/01           |100E143                  |9-bit Hold Register      |U21,U22,U23,U24
110 |4    |        |ZC6537/01           |100H601                  |9 x Interface            |U27,U28,U29,U30
111 |4    |        |ZC6526/01           |100E116                  |<NO_DESCRIP>             |U14,U15,U16,U17
112 |4    |        |ZD2872/01           |KM29N32000               |<NO_DESCRIP>             |UU8,UU9,UU12,UU13
113 |5    |        |PB2418/00038/0      |PB2418/00038/0           |<NO_DESCRIP>             |J4,J5,J6,J7,J8
114 |6    |        |FIDUCIAL40          |FIDUCIAL                 |                         |FI1,FI2,FI3,FI4,FI5,FI6
115 |6    |        |ZD6903/01           |XC4085                   |<NO_DESCRIP>             |U45,U46,U47,U48,U49,U50
116 |6    |RED     |ZP3030/././0        |ZP3030                   |led                      |D4,D5,D6,D7,D8,D9
117 |6    |0       |RES0603             |RES0603                  |                         |R138,R139,R143,R168,R169,R172
118 |6    |4.7u    |CE9002/../..../.    |CE9002_D                 |                         |CC4,CC7,CC8,CC9,CC17,CC21
119 |7    |        |JUMP_1_1            |JUMP_1_1                 |                         |P5,P6,P7,P8,P9,P10,P12
120 |8    |10u     |CE9002/../..../.    |CE9002_D                 |                         |C18,C32,C35,C36,CC1,CC2,CC3,CC18
121 |9    |0       |RES0805             |RES0805                  |                         |R14,R15,R16,R17,R18,R109,R283,R298,R321
122 |9    |10K     |RM9003/./..../0     |RM9003                   |                         |RR3,RR4,RR5,RR6,RR7,RR8,RR9,RR10,RR12
